Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: GraphDs className: GraphDs
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: GraphPage className: GraphPage
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: GraphRelationship className: GraphRelationship
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: GridTemplate className: GridTemplate
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: GridTemplateItem className: GridTemplateItem
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: GroupMapping className: GroupMapping
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: Grp className: Group
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: GruntScript className: GruntScript
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: History className: History
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: Host className: Host
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: HostDailyStat className: HostDailyStat
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: HostGroup className: HostGroup
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: DynamicHostGroup className: DynamicHostGroup parent: HostGroup
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: HostGroupItem className: HostGroupItem
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: HostHistory className: HostHistory
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: HostInterface className: HostInterface
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: HostInterfaceType className: HostInterfaceType
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: HostLoad className: HostLoad
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: HostMapping className: HostMapping
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: HostResource className: HostResource
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: HostService className: HostService
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: HostSoftware className: HostSoftware
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: HostStatus className: HostStatus
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: Job className: Job
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: Job3Delight className: Job3Delight parent: Job
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobAfterEffects className: JobAfterEffects parent: Job
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobAfterEffects7 className: JobAfterEffects7 parent: JobAfterEffects
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobAfterEffects8 className: JobAfterEffects8 parent: JobAfterEffects
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobAssignment className: JobAssignment
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobAssignmentStatus className: JobAssignmentStatus
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobAutodeskBurn className: JobAutodeskBurn parent: Job
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobBatch className: JobBatch parent: Job
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobCannedBatch className: JobCannedBatch
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobCinema4D className: JobCinema4D parent: Job
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobCommandHistory className: JobCommandHistory
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobDep className: JobDep
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobError className: JobError
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobErrorHandler className: JobErrorHandler
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobErrorHandlerScript className: JobErrorHandlerScript
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobFusion className: JobFusion parent: Job
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobFusionVideoMaker className: JobFusionVideoMaker parent: JobFusion
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobHistory className: JobHistory
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobHistoryType className: JobHistoryType
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobMax className: JobMax parent: Job
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobMax10 className: JobMax10 parent: JobMax
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobMax2009 className: JobMax2009 parent: JobMax
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobMax5 className: JobMax5 parent: Job
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobMax6 className: JobMax6 parent: Job
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobMax7 className: JobMax7 parent: JobMax
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobMax8 className: JobMax8 parent: JobMax
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobMax9 className: JobMax9 parent: JobMax
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobMaxScript className: JobMaxScript parent: Job
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobMaya className: JobMaya parent: Job
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobMaya2008 className: JobMaya2008 parent: JobMaya
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobMaya2009 className: JobMaya2009 parent: JobMaya
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobMaya7 className: JobMaya7 parent: JobMaya
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobMaya8 className: JobMaya8 parent: JobMaya
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobMaya85 className: JobMaya85 parent: JobMaya
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobMentalRay7 className: JobMentalRay7 parent: JobMaya
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobMentalRay8 className: JobMentalRay8 parent: JobMaya
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobMentalRay85 className: JobMentalRay85 parent: JobMaya
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobNuke51 className: JobNuke51 parent: Job
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobOutput className: JobOutput
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobRealFlow className: JobRealFlow parent: Job
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobRenderMan className: JobRenderMan parent: Job
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobRibGen className: JobRibGen parent: Job
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobService className: JobService
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobShake className: JobShake parent: Job
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobStat className: JobStat
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobStatus className: JobStatus
Mon May 18 16:32:11 2009:18477 src/schema.cpp:123 void parseTable(Schema*, QDomElement, QMap<QString, QList<QDomElement> >*, bool, QList<TableSchema*>*):Adding new table: JobSync className: JobSync parent: Job
